epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,5275.2,0.5722,1.19499,0.54686,1.03293,0.8513,0.82732,0.86266,0.77072,0.85017,0.82804,0.85847,0.76324,0.45841,1.46338,0.58949,0.98843,0.005578,0.005578,0.005578
69,5351.31,0.57596,1.19547,0.54131,1.03208,0.85278,0.82761,0.86234,0.77142,0.85159,0.82805,0.85882,0.76342,0.45786,1.46221,0.58938,0.98773,0.005512,0.005512,0.005512
70,5430.22,0.57621,1.21233,0.53967,1.0317,0.85367,0.82858,0.86339,0.77244,0.85173,0.8315,0.85944,0.76542,0.4573,1.45834,0.58815,0.98701,0.005446,0.005446,0.005446
71,5508.57,0.58598,1.23001,0.53709,1.03228,0.85694,0.82624,0.86227,0.77067,0.85514,0.82846,0.85902,0.76491,0.45701,1.45823,0.587,0.98625,0.00538,0.00538,0.00538
72,5589.13,0.57019,1.20392,0.52382,1.02251,0.8587,0.82594,0.86181,0.76931,0.85594,0.82834,0.85838,0.76374,0.45661,1.45658,0.58665,0.98565,0.005314,0.005314,0.005314
73,5667.35,0.56829,1.19342,0.52385,1.02562,0.86305,0.82303,0.86276,0.77004,0.85569,0.82897,0.85912,0.76479,0.45616,1.45613,0.58494,0.98487,0.005248,0.005248,0.005248
74,5745.68,0.56912,1.20245,0.52682,1.02667,0.85909,0.82604,0.86292,0.77039,0.8583,0.82605,0.85851,0.76454,0.45564,1.45689,0.58404,0.98425,0.005182,0.005182,0.005182
75,5824,0.56468,1.20136,0.52607,1.02315,0.86181,0.82471,0.86268,0.771,0.85977,0.82669,0.85843,0.76423,0.45536,1.45615,0.58192,0.98351,0.005116,0.005116,0.005116
76,5900.57,0.57246,1.18681,0.5219,1.0246,0.86387,0.82364,0.86261,0.77052,0.85992,0.82629,0.85819,0.76396,0.45436,1.45323,0.58007,0.98201,0.00505,0.00505,0.00505
77,5977.55,0.56332,1.18964,0.51573,1.02295,0.86848,0.82239,0.86262,0.7715,0.86101,0.82631,0.85875,0.76384,0.45409,1.45386,0.5791,0.98144,0.004984,0.004984,0.004984
78,6055.09,0.55971,1.17639,0.51173,1.02089,0.86509,0.82282,0.86265,0.77145,0.86091,0.82459,0.85866,0.764,0.45368,1.45332,0.57742,0.98088,0.004918,0.004918,0.004918
79,6135.46,0.56977,1.20956,0.52086,1.02192,0.86754,0.8207,0.86238,0.77071,0.86287,0.82386,0.85838,0.76375,0.45335,1.45302,0.57742,0.98055,0.004852,0.004852,0.004852
80,6212.37,0.55498,1.16437,0.51495,1.01521,0.8696,0.82057,0.8631,0.77181,0.8607,0.82632,0.85871,0.76467,0.45274,1.45181,0.57608,0.97965,0.004786,0.004786,0.004786
